,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,log message,log key,record id,parameter value vector,seq_path,path_pred,para_pred,fin_res
12,12,12,12,12,12,12,12,12,12,12,2020-06-26 13:22:02 The Windows Filtering Platform has permitted a bind to a local port,The Windows Filtering Platform has permitted a bind to a local port,450582,[0.0],"[17.0, 16.0, 17.0, 16.0, 16.0, 17]",0,0,0
13,13,13,13,13,13,13,13,13,13,13,2020-06-26 13:22:02 The Windows Filtering Platform has permitted a connection,The Windows Filtering Platform has <*> a <*>,1530787,"[6.0, 0.82045, 0.73645]","[16.0, 17.0, 16.0, 16.0, 17.0, 16]",0,0,0
14,14,14,14,14,14,14,14,14,14,14,2020-06-26 13:22:08 The Windows Filtering Platform has permitted a bind to a local port,The Windows Filtering Platform has permitted a bind to a local port,1530794,[0.0],"[17.0, 16.0, 16.0, 17.0, 16.0, 16]",0,0,0
15,15,15,15,15,15,15,15,15,15,15,2020-06-26 13:22:08 The Windows Filtering Platform has permitted a connection,The Windows Filtering Platform has <*> a <*>,1530791,"[0.0, 0.82045, 0.73645]","[16.0, 16.0, 17.0, 16.0, 16.0, 12]",1,0,0
16,16,16,16,16,16,16,16,16,16,16,2020-06-26 13:22:08 The Windows Filtering Platform has permitted a connection,The Windows Filtering Platform has <*> a <*>,1530789,"[0.0, 0.82045, 0.73645]","[16.0, 17.0, 16.0, 16.0, 12.0, 6]",0,0,0
17,17,17,17,17,17,17,17,17,17,17,2020-06-26 13:22:08 The Windows Filtering Platform has permitted a bind to a local port,The Windows Filtering Platform has permitted a bind to a local port,1530800,[0.0],"[17.0, 16.0, 16.0, 12.0, 6.0, 9]",0,0,0
18,18,18,18,18,18,18,18,18,18,18,2020-06-26 13:22:08 The Windows Filtering Platform has permitted a connection,The Windows Filtering Platform has <*> a <*>,1530788,"[0.0, 0.82045, 0.73645]","[16.0, 16.0, 12.0, 6.0, 9.0, 5]",0,0,0
19,19,19,19,19,19,19,19,19,19,19,2020-06-26 13:22:08 The Windows Filtering Platform has permitted a connection,The Windows Filtering Platform has <*> a <*>,1530792,"[0.0, 0.82045, 0.73645]","[16.0, 12.0, 6.0, 9.0, 5.0, 17]",0,0,0
20,20,20,20,20,20,20,20,20,20,20,2020-06-26 13:22:08 Special privileges assigned to new logon,Special privileges assigned to new logon,1530790,[0.0],"[12.0, 6.0, 9.0, 5.0, 17.0, 16]",0,0,0
21,21,21,21,21,21,21,21,21,21,21,2020-06-26 13:22:08 An account was successfully logged on,An account was successfully logged on,1530795,[0.0],"[6.0, 9.0, 5.0, 17.0, 16.0, 16]",0,0,0
22,22,22,22,22,22,22,22,22,22,22,2020-06-26 13:22:08 Group membership information,Group membership information,1530798,[0.0],"[9.0, 5.0, 17.0, 16.0, 16.0, 12]",0,0,0
23,23,23,23,23,23,23,23,23,23,23,2020-06-26 13:22:08 An account was logged off,An account was logged off,1530793,[0.0],"[5.0, 17.0, 16.0, 16.0, 12.0, 6]",0,0,0
24,24,24,24,24,24,24,24,24,24,24,2020-06-26 13:22:08 The Windows Filtering Platform has permitted a bind to a local port,The Windows Filtering Platform has permitted a bind to a local port,1530797,[0.0],"[17.0, 16.0, 16.0, 12.0, 6.0, 9]",0,0,0
25,25,25,25,25,25,25,25,25,25,25,2020-06-26 13:22:08 The Windows Filtering Platform has permitted a connection,The Windows Filtering Platform has <*> a <*>,1530796,"[0.0, 0.82045, 0.73645]","[16.0, 16.0, 12.0, 6.0, 9.0, 5]",0,0,0
26,26,26,26,26,26,26,26,26,26,26,2020-06-26 13:22:08 The Windows Filtering Platform has permitted a connection,The Windows Filtering Platform has <*> a <*>,1530799,"[0.0, 0.82045, 0.73645]","[16.0, 12.0, 6.0, 9.0, 5.0, 16]",0,0,0
27,27,27,27,27,27,27,27,27,27,27,2020-06-26 13:22:08 Special privileges assigned to new logon,Special privileges assigned to new logon,1530801,[0.0],"[12.0, 6.0, 9.0, 5.0, 16.0, 16]",0,0,0
28,28,28,28,28,28,28,28,28,28,28,2020-06-26 13:22:08 An account was successfully logged on,An account was successfully logged on,1530802,[0.0],"[6.0, 9.0, 5.0, 16.0, 16.0, 16]",0,0,0
29,29,29,29,29,29,29,29,29,29,29,2020-06-26 13:22:08 Group membership information,Group membership information,1530803,[0.0],"[9.0, 5.0, 16.0, 16.0, 16.0, 16]",0,0,0
30,30,30,30,30,30,30,30,30,30,30,2020-06-26 13:22:08 An account was logged off,An account was logged off,1530804,[4.0],"[5.0, 16.0, 16.0, 16.0, 16.0, 16]",0,0,0
31,31,31,31,31,31,31,31,31,31,31,2020-06-26 13:22:12 The Windows Filtering Platform has permitted a connection,The Windows Filtering Platform has <*> a <*>,305707,"[0.0, 0.82045, 0.73645]","[16.0, 16.0, 16.0, 16.0, 16.0, 6]",1,0,0
32,32,32,32,32,32,32,32,32,32,32,2020-06-26 13:22:12 The Windows Filtering Platform has permitted a connection,The Windows Filtering Platform has <*> a <*>,305709,"[0.0, 0.82045, 0.73645]","[16.0, 16.0, 16.0, 16.0, 6.0, 12]",1,0,0
33,33,33,33,33,33,33,33,33,33,33,2020-06-26 13:22:12 The Windows Filtering Platform has permitted a connection,The Windows Filtering Platform has <*> a <*>,305708,"[0.0, 0.82045, 0.73645]","[16.0, 16.0, 16.0, 6.0, 12.0, 16]",0,1,0
34,34,34,34,34,34,34,34,34,34,34,2020-06-26 13:22:12 The Windows Filtering Platform has permitted a connection,The Windows Filtering Platform has <*> a <*>,305710,"[17.0, 0.82045, 0.73645]","[16.0, 16.0, 6.0, 12.0, 16.0, 9]",1,0,0
35,35,35,35,35,35,35,35,35,35,35,2020-06-26 13:22:29 The Windows Filtering Platform has permitted a connection,The Windows Filtering Platform has <*> a <*>,305711,"[0.0, 0.82045, 0.73645]","[16.0, 6.0, 12.0, 16.0, 9.0, 0]",1,1,1
36,36,36,36,36,36,36,36,36,36,36,2020-06-26 13:22:29 An account was successfully logged on,An account was successfully logged on,468040,[0.0],"[6.0, 12.0, 16.0, 9.0, 0.0, 17]",0,0,0
37,37,37,37,37,37,37,37,37,37,37,2020-06-26 13:22:29 Special privileges assigned to new logon,Special privileges assigned to new logon,1530805,[0.0],"[12.0, 16.0, 9.0, 0.0, 17.0, 16]",0,0,0
38,38,38,38,38,38,38,38,38,38,38,2020-06-26 13:22:29 The Windows Filtering Platform has permitted a connection,The Windows Filtering Platform has <*> a <*>,305712,"[0.0, 0.82045, 0.73645]","[16.0, 9.0, 0.0, 17.0, 16.0, 16]",0,0,0
39,39,39,39,39,39,39,39,39,39,39,2020-06-26 13:22:29 Group membership information,Group membership information,305713,[0.0],"[9.0, 0.0, 17.0, 16.0, 16.0, 12]",0,0,0
40,40,40,40,40,40,40,40,40,40,40,2020-06-26 13:22:29 A token right was adjusted,A <*> <*> was <*>,1530806,"[0.0, 0.98666, 0.82783]","[0.0, 17.0, 16.0, 16.0, 12.0, 6]",0,0,0
41,41,41,41,41,41,41,41,41,41,41,2020-06-26 13:22:29 The Windows Filtering Platform has permitted a bind to a local port,The Windows Filtering Platform has permitted a bind to a local port,1530812,[0.0],"[17.0, 16.0, 16.0, 12.0, 6.0, 9]",0,0,0
